tile,desc,label
🌸 CẦN NGƯỜI LÀM CÁC VỊ TRÍ 🌸,"✅ Công việc : • Chăm sóc khách hàng\n • Hỗ trợ tư vấn, giải đáp thắc mắc của khách hàng\n  • Lên đơn, báo giá\n 🕰 Thời gian :8h - 11h30 / 13h30 - 17h   ( có xoay ca )\n 💵   Tiền: 8.000.000 VN₫\n 📌Yêu cầu :  • Độ tuổi : 19 - 35\n • Thái độ tốt & muốn có công việc lâu dài 📞Liên hệ sđt : 0868.825.160",0
🌸 BỔ SUNG CÁC VỊ TRÍ LÀM VIỆC 🌸,"👉  PARTTIME + FULLTIME\n ✅ Công việc : • Chăm sóc khách hàng\n • Hỗ trợ tư vấn, giải đáp thắc mắc của khách hàng\n  • Lên đơn, báo giá\n 🕰 Thời gian :\n • Ca sáng :  8h - 11h30 💵\n • Ca chiều : 13h30 - 17h  💵\n   Parttime : 4,3tr\n   💵   Fulltime  : 8,5tr\n  📌Yêu cầu :  • Độ tuổi : 19 - 35\n • Thái độ tốt & muốn có công việc lâu dài 📞Liên hệ sđt : 0868.825.160",0
🍁CẦN NGƯỜI PHỤ BÁN TẠI CỬA HÀNG 🍁,👉  PARTTIME + FULLTIME\n 🕰 Thời gian :\n • Ca sáng :  8h - 11h30 💵\n • Ca chiều : 13h30 - 17h  💵\n   📌Yêu cầu :  • Độ tuổi : 19 - 35\n • Thái độ tốt & muốn có công việc lâu dài 📞Liên hệ sđt : 0868.825.160,0
MÌNH CẦN NGƯỜI PHỤ QUÁN CƠM,"Địa chỉ: 67 phan đăng lưu// 232 hoàng diệu\n Part time : 7h- 13h hoặc 17h - 22h30\n Lương : 2.500k -3.300k/ tháng tùy vị trí ca.\n Yêu cầu:từ 18 -30 tuổi, nhanh nhẹn, chịu khó, không yêu cầu kinh nghiệm.\n  LH: 0905997901",1
🌻🌻Chuỗi Thực phẩm Sạch Đà Nẵng Mở Rộng Chi Nhánh Cần người làm việc ,"✅ Bán hàng Tại Chỗ : 3 Người  Ưu tiên nhận Nữ\n *Công việc,báo giá, kiểm tra giao nhận hàng , hỗ trợ khách hàng\n ⏰ Thời gian: làm Giờ hành chính\n ( Sáng 8h đến - 16h30 chiều )\n 💲 Khởi điểm: 7.5 tr đến 9tr /tháng,\n        (Tùy vị trí công việc)\n * Yêu cầu:độ tuổi  23t - 55 t\n  không cần kinh nghiệm, cần chịu khó ,siêng năng , nhiệt tình\n ☎️ LIÊN HỆ SDT  0979.664.946  ( hoặc Zalo )",0
Tuyển nhân viên làm lâu dài tại Đà Nẵng.,Tuổi 18 trở lên. Ib nhận việc hoặc liên hệ trực tiếp sđt và zalo: 0702539282,0
Beer Bốc,Số 02 Lê Quang Đạo cần tuyển 1 NV phục vụ. Làm từ 16h đến 24h00.LH 0799 343 693 (Công) Lương+ăn tối+thưởng....,1
PHỤ VIỆC TỪ HÔM NAY QUA LỄ 30/4-1/5,"Tìm thêm 2-3 bạn trẻ nhiệt huyết, muốn học hỏi và làm việc nghiêm túc trong một môi trường trẻ, rõ ràng và hỗ trợ. Nếu bạn muốn một công việc có định hướng rõ ràng, team hỗ trợ và cơ hội phát triển thì Liên hệ: 0797039843 ( Thư )",0
🍸 Cần người phụ bán với chị ,"🍸 Yêu cầu: Tuổi từ 20 trở lên, chăm chỉ, chịu khó.\n • 1 ca : 4.000.000 VNĐ • full 2 ca : 8,5.000.000 VNĐ+thưởng\n 🍸Thời gian : •Sáng : 8h - 11h30 •Chiều : 13h30 - 17h00\n 🍸 Khu vực: Hải Châu, Thanh Khê\n 🪐  phone: 0936847514",1
khu Ngũ Hành Sơn,"E cần 20 chị phụ e lấy hàng gia công về nhà làm (gần qua e lấy, xa em giao) Lương e trả trong ngày ạ",0
Chị Cần Gấp 2 Bạn Bán Hàng,"Công việc: Khách đến cần gì hỗ trợ đó.\n Khu vực:  tam kỳ .quảng nam Yêu cầu: 19t- 55t, Nhanh nhẹn nhiệt tình với khách\n Thời Gian làm 8 tiếng 1 ngày.  ( Off chủ nhật)\n Tn: 3tr5 / 4 tiếng 8tr / 8 tiếng\n Liên hệ 0336722125 (ZALO) hoặc gọi trực tiếp mình nhận việc làm.",1
CÔNG TY TNHH MEDIASTEP SOFTWARE TUYỂN DỤNG,"Vị trí: Chuyên Viên Kinh Doanh\n Lương cơ bản: 10.000.000đ + thưởng + hoa hồng\n 📍Thời gian làm việc: - Thứ 2 - thứ 6 - 8h30 – 17h30 📍Yêu cầu công việc: - Độ tuổi từ 22 - 36 - Ứng viên có ít nhất 6 tháng kinh nghiệm ở vị trí tương đương - Giao tiếp tốt, nhiệt tình với khách hàng - Có Laptop cá nhân - Đam mê công việc, trung thực, nhanh nhẹn, thật thà, chăm chỉ 📍Quyền lợi: - Lương cơ bản 10.000.000 VNĐ + thưởng + hoa hồng - Hoa hồng lên đến 40% - Có xe đưa đón khi gặp khách hàng - Được đóng BHXH, BHYT, BHTN,…theo Luật Lao Động - Lương tháng 13 và 15 ngày phép năm - Được tham gia các hoạt động Teambuilding, Companytrip... - Được xét tăng lương định kỳ hằng năm theo năng lực và kết quả công việc 🕹CÁCH THỨC ỨNG TUYỂN: 💥Ứng tuyển qua form: https://forms.gle/ZDp4i41amBNKKBKs9 📩Gửi CV qua Email: vien.ngo.dien@gosell.vn [Họ và tên - Số điện thoại] ☎️Hotline/Zalo: 0765.870.154 (Mr. Viên) 🏢 Hồ Chí Minh: 84A/42 Trần Hữu Trang, phường 10, quận Phú Nhuận, Tp. Hồ Chí Minh 🏢 Hà Nội: Tầng 4 - toà nhà Ba Đình Office, số 19 Lê Thanh Nghị, quận Hai Bà Trưng, Hà Nội 🏢 Đà Nẵng: Tầng 11, Vĩnh Trung Plaza, 255-257 Hùng Vương, Thanh Khê, Đà Nẵng 🏢 Cần Thơ: Tầng 7, Tòa nhà SHB, Số 16-18 Đại lộ Hòa Bình, Ninh Kiều, Cần Thơ ",1
Cần 2 nữ phụ bán hàng và lấy hàng cho khách tại Đà Nẵng  ,"+ Yêu cầu: 22t trở lên 💰 \n THU NHẬP: 7tr_9tr/ tháng +phụ cấp\n Thời gian giờ hành chính : 8h~16h30 Ưu tiên cho người thật sự cần cv (nghỉ trưa 1,5t CN nghỉ).\n Công việc được hướng dẫn trước khi làm\n ⭐LIÊN HỆ TRỰC TIẾP:  0905890791 GẶP CHỊ TRAO ĐỔI CV CỤ THỂ",1
Gọi nhanh 0702749508,"Cô cần 2 bạn bán đồ uống, thực phẩm sạch gần đại học Đông Á từ 8h-17h hằng ngày, 20-35t,\n cần việc gọi ngay 0702749508",0
"TUYỂN DỤNG NHÂN VIÊN BÁN BÁNH MỲ
","- Thu ngân: 01\n Yêu cầu: biết sử dụng phần mềm tính tiền, có kinh nghiệm ở vị trí tương đương\n Mức lương khởi điểm: 21k/h, thưởng chuyên cần tháng.\n Thời gian: 5h00-10h30\n Nhân viên bán hàng: 01 Yêu cầu: không yêu cầu kinh nghiệm Mức lương khởi điểm: 20k/h, thưởng chuyên cần tháng. Thời gian: 5h00-10h30 Địa chỉ: 568 Bạch Đằng, Hoà Cường Bắc, Đà Nẵng Liên hệ: 0766543457 ( Ngân)",1
❌❌ Tuyển nhân viên❌❌,"-Cần tuyển nhân viên bán Mỹ Phẩm tại chỗ - 73/05 Châu Thị Vĩnh Tế , Ngũ Hành Sơn ( gần đại học kinh tế )\n -Tgian làm ca1 từ 8h- 12h30 ca2 2 từ 4h30 chiều đến 8h30 tối -Có thể làm fulltime nếu rảnh\n -Đth trực tiếp đến 0906406604 để trao đổi",1
"CẦN TUYỂN 02 NHÂN VIÊN NỮ PHỤC VỤ Coffee
","Làm theo ca : 6h- 13h , 13h - 20h ""Relax Coffee"" ( câu lạc bộ cờ tướng Non Nước ) Địa chỉ : Lô góc Võ Văn Đặng và Nguyễn Dục ,Hoà Hải , Ngũ Hành Sơn Lương thỏa thuận trực tiếp Ưu tiên sinh viên và  người có kinh nghiệm pha chế Lh 0935198579",1
"Lễ 30/4, 1/5 Cần bổ sung gấp người bán thực phẩm sạch, ","Gọi nhanh 0702749508 gần ngay khu vực chợ đầu mối Hải Châu, gọi ngay 0702749508",0
📣TỔNG ĐẠI LÝ THỰC PHẨM SẠCH ĐÓNG HỘP CẦN NGƯỜI PHỤ BÁN HÀNG TẠI,TUỔI: 30-50T (Ưu tiên nữ )\n Thời gian: Sáng 7h30-11h30/Chiều 13h-17h\n Thu nhập: 7-9tr + thưởng\n Liên hệ trực tiếp : 0799416258 or Zalo,1
🌊🌊TÌM ĐỒNG ĐỘI🌊🌊,"Cần 3-4 bạn NỮ / NAM hoặc LGBT Phụ Bán 💎💎 18 - 45 tuổi •💰 full 1 ca : 3.500.000 VNĐ •💰 full 2 ca : 7.500.000 VNĐ ⏰ Thời gian : •Sáng : 7h30 - 11h30 •Chiều : 13h00 - 17h00 - Không cần kinh nghiệm - Hỗ trợ xoay ca linh hoạt - Thái độ tốt, Vui vẻ , hoà đồng ,lễ phép\n 🔥IB trực tiếp hoặc liên hệ zalo nhân sự giúp c: 0905276851",0
"💥💥ĐANG MỞ RỘNG THỊ TRƯỜNG CẦN, 3 BẠN BÁN HÀNG.Ở KHU VỰC HẢI CHÂU,CẨM LỆ (ưu tiên cho nữ làm việc lâu dài)","⏰️Thời Gian
                      Sáng:8h-11h30
                      Chiều:13h30-17h00
-Yêu cầu:20t-45t,nghiêm túc và yêu thích cv
THẬT SỰ TÌM VIỆC IB HOẶC
 ☎ LH. 0935.637.096 Gặp C Trinh.",1
"Cần tuyển bạn nữ phụ bán tạp hoá ca tối
","🗣️Thời gian: 17H-23H ( tháng dc nghỉ 1 ngày)
🗣️ Lương 18k/H+ thưởng+ bao ăn
🗣️Yêu cầu: Siêng năng và thật thà
🗣️Địa chỉ 257 Hoài Thanh( Gần trường Đại Học Kinh Tế)
🗣️Liên hệ Zalo: 0932492203",1
"Cần tuyển nhân viên phục vụ Nhà hàng 436 võ nguyên giáp
","Yêu cầu: nhanh nhẹn, tự giác
Thời gian làm việc : 10:00-16:00 hoặc 16:00-22:00 xoay ca đều được
Lương cơ bản 25k/h
Liên hệ sdt /zalo : 0935238141 Chị Trang",1
"🌞 TUYỂN DỤNG THÁNG 4 - KHỞI ĐỘNG MÙA HÈ CÙNG KOI RESORT & RESIDENCE ĐÀ NẴNG! 🌞
","Bạn đang tìm kiếm một môi trường làm việc chuyên nghiệp, năng động tại khu nghỉ dưỡng đẳng cấp ven biển Đà Nẵng? KOI Resort & Residence Đà Nẵng chính là nơi dành cho bạn!
🔥 Cơ hội phát triển nghề nghiệp trong ngành khách sạn - du lịch
🔥 Môi trường làm việc hiện đại, chuyên nghiệp, đồng nghiệp thân thiện
🔥 Chế độ phúc lợi hấp dẫn, lộ trình thăng tiến rõ ràng
📩 Ứng tuyển ngay qua email: hre@koiresortdanang.com
📞 Hotline: 0327 727 234
🚀 Gia nhập đội ngũ KOI ngay hôm nay và cùng chúng tôi tạo nên một mùa hè đáng nhớ!
              ______________________
🌞 APRIL RECRUITMENT – KICKSTART YOUR SUMMER WITH KOI RESORT & RESIDENCE DA NANG! 🌞
Are you looking for a professional and dynamic working environment at a luxury beachfront resort in Da Nang? KOI Resort & Residence Da Nang is the perfect place for you!
🔥 Exciting career opportunities in the hospitality & tourism industry
🔥 Modern, professional workplace with friendly colleagues
🔥 Attractive benefits and clear career growth opportunities
📩 Apply now via email: hre@koiresortdanang.com
📞 Hotline: 0327 727 234
🚀 Join KOI today and make this summer unforgettable!",1
CẦN GẤP NGƯỜI LÀM TẠI ĐÀ NẴNG,"8h đi chiều 5h về, 7tr/ tháng
Trên 19t ( ưu tiên chị gái lớn tuổi )
IB hoặc lh 0762753485 ĐỂ TRAO ĐỔI",0
"📣📣📣Cơ hội việc làm lâu dài cho Nữ, mong muốn có cs ổn định, phát triển
","- Khu vực: Hải Châu, Thanh Khê, Cẩm Lệ - #ĐàNẵng
- Tg: giờ hành chính
- TN: 7- 10tr + thưởng (được thỏa thuận trước khi làm)
👉👉Nghiêm túc, cần việc thì lhsdt ☎️☎️0797534419",0
"Cần mở thị trường ở-Quảng Nam -Đà Nẳng
","✨Mình đang cần 3 bạn bán hàng
-Về các dòng nước uống hàng tiêu dùng cao cấp(ko cần kinh nghiệm)
-Nữ tuổi từ 20-45(ko yêu cầu ngoại hình)
-Thời gian làm :8h-11h30
                  chiều 1h30-5h
Chi tiết liên hệ hoặc ib zalo 0935637096",1
"𝙋𝙃Ụ 𝘽Á𝙉  ( 𝙉ữ )
","✅ ℙ𝕙ụ 𝔹á𝕟 :
- full 1 ca : 3tr5 VNĐ/ 1ca
- full 2 ca : 7tr2 VNĐ/ 2 ca
🛵Yêu cầu: Trên 22 -> 65t
• Không cần kinh nghiệm.
• Thái độ tốt,Vui vẻ , hoà đồng
• Có phương tiện đi lại
⏰𝕋𝕙ờ𝕚 𝔾𝕚𝕒𝕟 :
•Sáng   :    7h30   - 11h30
•Chiều  : 13h30   - 17h00
✍️ IB trực tiếp nhanh qua facebook để trao đổi/ 0347999117 ZALO",0
"Chị Cần 3 Nữ Phụ Bán Hàng Tại Hoà Cường , Đà Nẵng.
","     Tuổi 22 Đến 55.
     Ưu Tiên Nữ.
     Tháng 8 triệu trở lại.
 🔥Sáng. 8h00 - 17h00 ( Có nghĩ trưa, CN nghĩ).
Thật sự cần
LH. 0796678532
Xin cảm ơn.",1
CẦN TUYỂN,"Nẫu Cuốn- Bánh Cuốn Tây Sơn Bình Định
Cần tuyển full time  (bao cơm trưa, tối)
Thời gian:   6h-18h
Đc: Ngã 3 Huỳnh Lắm- Nam Kỳ Khởi Nghĩa - Hoà Hải - Ngũ Hành Sơn ( đối diện Milano Cofffee)
Sdt/zl : 0906919858",1
